ID,kat,type,brand,nama,alamat,cp,email,telp,fax,product,created_at,update_at,deleted_at
,BUILDING CONSUMABLES/NEEDS,AD,,PT BATAVIA MITRA KARPETINDO,JL RAYA JATINEGARA TIMUR NO.47 ,U/P Sulis,bataviakarpet@gmail.com,T 021-8196772 / 8560576,,KARPET,,,
,CONVEYOR,T,,PT SENTRAL METAL MANDIRI,LTC lindeteves trade center GF 1 Blok C31 no.6,u/p yanni,email sales_ltc@sentralmetalmandiri.com,021-62320036 / 37,021-62203972,COMPONEN CONVEYOR,,,
,BUILDING CONSUMABLES/NEEDS,T,,BINTANG TANI,JL ABDUL LATIF NO. 131 PASAR RAU,u/p Yusuf,Email muhammad. yusuf06@yahoo.co.id,0254-201622,081274111112,PEMBASMI HAMA TANAMAN,,,
,INTERIOR,T,,TOKO ANUGRAH MANDIRI,Glodok jaya Lt.2 blok B No.9,u/p Cahyadi,,021-83654699,,GLASSWOOL,,,
,KIMIA,AD,,PT ENVIRO PRIMA,kawasan pergudangan taman teknoBlok A1 No.17 BSD serpong tangerang,u/p Daris setiadi,info@enviroprima.com,021-75876551 / 75876552,021-75876554,DURAND,,,
,INSERT,AD,SECO,PT SECO TOOLS INDONESIA,gedung cawang kencana 6th floor suite 605,u/p Norman,norman.suprayogi@cesotools.com,021-80888122,021-80888120,INSERT,,,
,PAINT,AD,,PT KEBAYORAN WARNAPRIMA,JL jati 3 blok J6 - 19 newton tecnopark bekasi,u/p aryadi,marketing@kwp.co.id,021-89909758,021-89909757,THINNER / PAINT,,,
,PIPA PLASTIC,M,,Harapan Widyatama Pertiwi. PT,"Alamat: JL. Agung Karya V Blok B 8-9, Sunter Agung Podomoro, Jakarta",u/p Yuli,yuli@unilon.co.id,Telepon:(021) 6506403,,PIPE PVC/HDPE,,,
,MESIN,AD,,PT DWIRAJAYA SATYA,"Jl. Green Garden Blok I-9, No. 33  Jakarta 11520   ",HUDI,HP: 0812 851 8277,"Phone      : 021  5812334, 5820433, 5820434,   ",Fax          : 021 5811366 ,MOTOR MESIN,,,
,PAINT,AD,,PT SARI PERTIWI CEMERLANG,JL KALIMALANG NO.3 DESA CIBUNTU,RATNA,ratnatriwulaningsih@yahoo.co.id,021-88369384 / 88369386,021-88369385,VARNISH COATING,,,
,UNIFORM,M,,KONVEKSI CUBE APPAREL,BANDUNG,RAYHAN,rayhan.ambon@gmail.com,87772402797,,SERAGAM CAT/OI,,,
,TOOLS,T,,GERFA INDONESIA,central niaga kalimalang blok C1 /15,RAVID BOOR,gerfa@gerfaindonesia.co.id,081-88851111,021-88964545,"DIAL INDICATOR, FLEXIBLE ARMMAGNETIC",,,
,INTERIOR,,,PT JAYACO ALDERON PERSADA,jl angkasa raya 18E ,DEVIE,marketing@jayacoalderon.com,021-4209672 / 4225343,42871209,ROOFTOP,,,
,GENERAL,AD,,CV ZABTA CAHAYA SEMBILAN,jl ranca sawah komp ranca palupuh 19 serang,AHMAD,zabidin2007@gmail.com,0254-213538,0254-219598,PEREKAT ARALDITE,,,
,SAFETY,AD,SERVVO,PT JAGA KARYA MANDIRI,PUSAT NIAGA ROXY MAS E1/20,MIMI,mimi@jagakarya.com,021-63864888,6310901,APAR ,,,
,GENERAL,T,PANASONIC,PT UNGGUL PRATAMA,LTC GF1 BLOK C25 NO.8 &2,LENNI,sales@unggulpratama.co.id,02129624962 / 29624963,29624965,LIFE BATTERE PANASONIC,,,
,SPAREPART,AD,OKUMA,PT NUMACINDO KARSAKHARISMA,JL SUSILO RAYA NO.17 JKT,YUNI,numacindok@gmail.com,021-5657175,021-5671071,SPAREPART,,,
,KIMIA,,,PT PERTALUBE NUSA JAYA,Jl kyai Maja no 65 blok I-A,SRI ENDAH,perta_lube@yahoo.co.id,021-7248058 / 7261779 / 7398080,72789048,RUSGUARD LUBE,,,
,GENERAL,AD,SLS,PT SLS BEARINDO,JL GUNUNG SAHARI RAYA NO.2,ULAN,ulan@slsbearindo.com,021-6456711 / 28,6456716/19,BEARING,,,
,GENERAL,T,,PT WIRA SRIKANDI MAHANANI,TAMAN SEMANAN INDAH ,FLORY,,98791938,8155008631,SHEET TEMBAGA,,,
,GENERAL,AD,SHARP POINT,PT SUMBER PRIMA MARSINDO SUKSES,Jl. Kapuk Kamal Muara VII Kamal Muara Penjaringan,WENDY,,56983166,,ROLLER BLINDS,,,
,INTERIOR,AD,,PT MORELLI MITRA MANDIRI,Kavling Pertamina No.88,IFA,,84593417,85883687227,KURSI MEETING,,,
,CRANE,T,,PT PUSTAKA ALAM SENTOSA,JL H RASUNA SAID KAV 20,CHANDRA,pustakaalamsentosa@gmail.com,29718717,29718601,SPARE PART CRANE,,,
,INTERIOR,M,,STANDIE ABENIEL,PERUMAHAN KFT BLOK A8 NO.25,FENDI,,8710909055,5550755,INTERIOR DESIGN DAN FURNITURE,,,
,GENERAL,T,,PT. AULIA TEKNIK SEJAHTERA,Komp. Taman Asri Blok.A No.23,,,81906224414,0254 2559528 ,"Fenner ,Sumitomo Cutting Tools, Widia Cutting Tools Product",,,
,INTERIOR,,,BERCA MANDIRI PERKASA,JL.PANGERAN JAYAKARTA 149A,,bmp@berca-mp.co.id,021-6006125,021 6399191,KONTRAKTOR,,,
,,T,,PT DUTA UTAMA SENJAYA,Komp.arga Baja pura Jl. Arga patuha blok D5 no. 19,,sales@dutatop.co.id,62-254-570530,62-254-570601,Engineering Industrial Supplies ,,,
,GASKET,M,EAGLE BURGMANN,"EagleBurgmann Indonesia, PT",Jalan Jababeka Blok J6-E Kawasan Industri Jababeka,,sales@id.eagleburgmann.com ,62 21 8935315,21 8975729 ,industrial sealing products,,,
,INTERNET PROVIDER,M,,HYPERINDO MEDIA PERKASA,"JALAN RAYA MENCENG NO,12A",,,62 21 5561181,,internet service,,,
,,M,DEXION,"INTRAMEGA GLOBAL, PT",Jl. Ruko jalur sutra kav.29A no.65 alam sutera,,info@intramega-global.com,30429940,6221 3042 9954,(racking system – Dexion),,,
,,T,,Inter Satria Perkasa,Jl. Rawa Buaya Raya No. 4-A Rawa Buaya,Pak Erwin,intersatriacasting@gmail.com,021-6190059/ 081513220010,215401424,Metal Casting,,,
,,T,,KARYA MITRA GEMILANG,"LTC LT. UG, BLOK C30 NO. 23",,,62216268820,,perkakas alat teknik,,,
,GENERAL,T,,PD. SAHABAT,"LTC Glodok Lt. UG Blok C 1 No. 1 - 2, ",,,021-6494494 / 6494545,021-6254342,supplier of cable and automation products (kawat galv),,,
,,AD,KINIK,RUKUN SEJAHTERA TEKNIK,KOMPLEK RUKO GLODOK JAYA,Marketing,marketing@abrasive-tools.com,021-6281615,,machine tools,,,
,,T,,SENTRAL ALUMUNIUM,JL. LETJEN SUPRAPTO no.26,,,+62 813-2719-6827,,alumunium,,,
,,T,,SARANA TEKNIK MANDIRI ABADI,JL.PANGERAN JAYAKARTA 141/0,,info_sales@saranateknikgroup.com,021-62202066,(62-21) 624 0278,Tool & steel material,,,
,,T,,SPEEDMAX SOLUSINDO UTAMA,"Bintara, Bekasi - Indonesia",,,021 8895 3006 ,88954772,"Machine Tools For Wood, Pvc, Alu And Tool-Making",,,
,,T,,SINAR LOGAM,Komplek Latumenten Indah Unit. 39 O,,info@sinlogfire.com,62-295-471308,62-295-471309,"nickel chrome, black coat, carbon look & wooden panel ",,,
,SERVICE,M,,PT. TUV Nord INDONESIA,Jl. Letjen TB Simatupang Kav 88,,,021-7887338,2178837336,PENGUJIAN / ISO,,,
,,AD,OTTONER,PT. Dwitama Putera Indonesia,Gudang Taman Tekno Blok L2 no. 47 - 48,Otto A D Setiawan,sales@dwitamaputera.com,628121201919,,Paint,,,
